"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.osutamistearv";334;"Veebileht";"osutamistearv"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.osutamistearv";1898;"Veebileht";"osutamistearv"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"Ettevõtlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.halduskulu";0;"Veebileht";"halduskulu"
"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.halduskulu";NA;"Veebileht";"halduskulu"
"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.halduskulu";202500;"Veebileht";"halduskulu"
