Pikk_2;Lai;Pikk;ON olemas
AGRI-001;AGRI-001;AGRI-001;AGRI-001
AGRI-004;AGRI-002;AGRI-002;#N/A
AGRI-005;AGRI-003;AGRI-003;#N/A
AGRI-006;AGRI-004;AGRI-004;AGRI-004
AGRI-007;AGRI-005;AGRI-005;AGRI-005
EAM-001;AGRI-006;AGRI-006;AGRI-006
EAM-002;AGRI-007;AGRI-007;AGRI-007
EAM-003;EAM-001;EAM-001;EAM-001
EAM-004;EAM-002;EAM-002;EAM-002
EAM-005;EAM-003;EAM-003;EAM-003
EAM-006;EAM-004;EAM-004;EAM-004
EAM-007;EAM-005;EAM-005;EAM-005
EAM-008;EAM-006;EAM-006;EAM-006
EAM-009;EAM-007;EAM-007;EAM-007
EAM-010;EAM-008;EAM-008;EAM-008
EKEI-001;EAM-009;EAM-009;EAM-009
ENTK-001;EAM-010;EAM-010;EAM-010
ENTK-002;EKEI-001;EKEI-001;EKEI-001
ENTK-003;ENTK-001;ENTK-001;ENTK-001
ERR-001;ENTK-002;ENTK-002;ENTK-002
HTM-001;ENTK-003;ENTK-003;ENTK-003
HTM-002;ERR-001;ERR-001;ERR-001
HTM-003;HTM-001;HTM-001;HTM-001
HTM-004;HTM-002;HTM-002;HTM-002
HTM-005;HTM-003;HTM-003;HTM-003
HTM-006;HTM-004;HTM-004;HTM-004
HTM-007;HTM-005;HTM-005;HTM-005
HTM-008;HTM-006;HTM-006;HTM-006
HTM-009;HTM-007;HTM-007;HTM-007
HTM-010;HTM-008;HTM-008;HTM-008
HTM-011;HTM-009;HTM-009;HTM-009
HTM-012;HTM-010;HTM-010;HTM-010
HTM-013;HTM-011;HTM-011;HTM-011
INNO-001;HTM-012;HTM-012;HTM-012
INNO-002;HTM-013;HTM-013;HTM-013
INNO-003;INNO-001;INNO-001;INNO-001
INNO-005;INNO-002;INNO-002;INNO-002
INNO-006;INNO-003;INNO-003;INNO-003
INNO-007;INNO-004;INNO-004;#N/A
JUM-001;INNO-005;INNO-005;INNO-005
JUM-002;INNO-006;INNO-006;INNO-006
JUM-003;INNO-007;INNO-007;INNO-007
JUM-004;JUM-001;JUM-001;JUM-001
JUM-005;JUM-002;JUM-002;JUM-002
JUM-007;JUM-003;JUM-003;JUM-003
JUM-008;JUM-004;JUM-004;JUM-004
KA-001;JUM-005;JUM-005;JUM-005
KA-002;JUM-007;JUM-007;JUM-007
KA-003;JUM-008;JUM-008;JUM-008
KA-004;KA-001;KA-001;KA-001
KA-005;KA-002;KA-002;KA-002
KA-006;KA-003;KA-003;KA-003
KA-007;KA-004;KA-004;KA-004
KA-008;KA-005;KA-005;KA-005
KA-009;KA-006;KA-006;KA-006
KA-010;KA-007;KA-007;KA-007
KA-011;KA-008;KA-008;KA-008
KI-001;KA-009;KA-009;KA-009
KI-002;KA-010;KA-010;KA-010
KI-003;KA-011;KA-011;KA-011
KI-004;KI-001;KI-001;KI-001
KI-005;KI-002;KI-002;KI-002
KI-006;KI-003;KI-003;KI-003
KKA-001;KI-004;KI-004;KI-004
KKA-002;KI-005;KI-005;KI-005
KKA-003;KI-006;KI-006;KI-006
KKA-004;KKA-001;KKA-001;KKA-001
KKA-005;KKA-002;KKA-002;KKA-002
KKA-007;KKA-003;KKA-003;KKA-003
KKA-008;KKA-004;KKA-004;KKA-004
KKA-009;KKA-005;KKA-005;KKA-005
KKA-010;KKA-007;KKA-007;KKA-007
KKA-011;KKA-008;KKA-008;KKA-008
KKA-012;KKA-009;KKA-009;KKA-009
KKA-013;KKA-010;KKA-010;KKA-010
KUM-001;KKA-011;KKA-011;KKA-011
LA-001;KKA-012;KKA-012;KKA-012
LA-003;KKA-013;KKA-013;KKA-013
LA-004;KUM-001;KUM-001;KUM-001
LA-005;LA-001;LA-001;LA-001
LA-006;LA-003;LA-003;LA-003
LA-007;LA-004;LA-004;LA-004
LA-008;LA-005;LA-005;LA-005
LA-009;LA-006;LA-006;LA-006
LA-010;LA-007;LA-007;LA-007
LA-011;LA-008;LA-008;LA-008
LA-012;LA-009;LA-009;LA-009
LA-013;LA-010;LA-010;LA-010
LA-014;LA-011;LA-011;LA-011
LA-015;LA-012;LA-012;LA-012
LA-016;LA-013;LA-013;LA-013
LA-017;LA-014;LA-014;LA-014
LA-019;LA-015;LA-015;LA-015
LA-020;LA-016;LA-016;LA-016
LA-022;LA-017;LA-017;LA-017
LA-023;LA-019;LA-019;LA-019
LA-024;LA-020;LA-020;LA-020
LA-025;LA-022;LA-022;LA-022
LA-026;LA-023;LA-023;LA-023
LA-027;LA-024;LA-024;LA-024
MA-007;LA-025;LA-025;LA-025
MA-008;LA-026;LA-026;LA-026
MA-010;LA-027;LA-027;LA-027
MA-014;MA-007;MA-007;MA-007
MA-035;MA-008;MA-008;MA-008
MA-036;MA-010;MA-010;MA-010
MA-037;MA-014;MA-014;MA-014
MA-038;MA-035;MA-035;MA-035
MA-039;MA-036;MA-036;MA-036
MA-041;MA-037;MA-037;MA-037
MA-042;MA-038;MA-038;MA-038
