"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"83";"MA-010";"Liiklus ja liiklusvahendid";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10603";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"131";"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";334;"Veebileht";"osutamistearv"
"215";"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";1898;"Veebileht";"osutamistearv"
"216";"STAT-002";"Statistika";"Publikatsioon";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"217";"RM-004";"Raamatupidamine ja aruandlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Rahandusministeerium";"Kliendile tasuta";"riigiraha.fin.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";7911;"Veebileht";"osutamistearv"
"268";"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";20;"Veebileht";"osutamistearv"
"272";"JUM-001";"Õigus";"Konsultatsioon";"Justiitsministeeriumi haldusala";"Justiitsministeerium";"Kliendile tasuta";"http://www.juristaitab.ee/";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";713;"Veebileht";"osutamistearv"
"281";"MA-041";"Liiklus ja liiklusvahendid";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Teenustasu";"http://www.mnt.ee/index.php?id=25960";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"286";"MA-042";"Liiklus ja liiklusvahendid";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"www.tarktee.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"291";"STAT-007";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/palk-ja-toojoukulu";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"292";"STAT-008";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/rahvamajanduse-arvepidamine";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"293";"STAT-009";"Rahvastik";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/rahvastikunaitajad-ja-koosseis";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"294";"STAT-010";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/valiskaubandus";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"295";"STAT-011";"Sotsiaalelu";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/tooturg";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"309";"AGRI-001";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Riigilõiv, riigimaks (tollimaks)";"http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/puugiload-ja-puugivoimaluste-jaotus";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";250;"Veebileht";"osutamistearv"
"312";"AGRI-004";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Kliendile tasuta";"http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/kalalaevaregister";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"313";"AGRI-005";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Kliendile tasuta";"https://kis.agri.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"318";"RTK-001";"Töökeskkond ja personal";"Aruandlus";"Rahandusministeeriumi haldusala";"Riigi Tugiteenuste Keskusest";"Kliendile tasuta";"www.riigitootaja.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"374";"MA-044";"Liiklus ja liiklusvahendid";"Aruandlus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"https://teeregister.riik.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";864956;"Veebileht";"osutamistearv"
"375";"MA-045";"Raha ja omand";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"https://teeregister.riik.ee";"teenuste_kanalid_ja_moodikud.Veebileht.osutamistearv";415131;"Veebileht";"osutamistearv"
"473";"MA-010";"Liiklus ja liiklusvahendid";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.mnt.ee/index.php?id=10603";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"521";"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"605";"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"606";"STAT-002";"Statistika";"Publikatsioon";"Rahandusministeeriumi haldusala";"Statistikaamet";"Teenustasu";"http://www.stat.ee/90732";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"607";"RM-004";"Raamatupidamine ja aruandlus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Rahandusministeerium";"Kliendile tasuta";"riigiraha.fin.ee";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"658";"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"662";"JUM-001";"Õigus";"Konsultatsioon";"Justiitsministeeriumi haldusala";"Justiitsministeerium";"Kliendile tasuta";"http://www.juristaitab.ee/";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";100;"Veebileht";"rahulolu"
"671";"MA-041";"Liiklus ja liiklusvahendid";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Teenustasu";"http://www.mnt.ee/index.php?id=25960";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"676";"MA-042";"Liiklus ja liiklusvahendid";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Maanteeamet";"Kliendile tasuta";"www.tarktee.ee";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"681";"STAT-007";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/palk-ja-toojoukulu";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"682";"STAT-008";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/rahvamajanduse-arvepidamine";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"683";"STAT-009";"Rahvastik";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/rahvastikunaitajad-ja-koosseis";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"684";"STAT-010";"Majandus";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/valiskaubandus";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"685";"STAT-011";"Sotsiaalelu";"Interaktiivne infoteenus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://www.stat.ee/tooturg";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"699";"AGRI-001";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Riigilõiv, riigimaks (tollimaks)";"http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/puugiload-ja-puugivoimaluste-jaotus";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"702";"AGRI-004";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Kliendile tasuta";"http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/kalalaevaregister";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"703";"AGRI-005";"Kalandus";"Järelvalve teostamine";"Maaeluministeeriumi haldusala";"Maaeluministeerium";"Kliendile tasuta";"https://kis.agri.ee";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"708";"RTK-001";"Töökeskkond ja personal";"Aruandlus";"Rahandusministeeriumi haldusala";"Riigi Tugiteenuste Keskusest";"Kliendile tasuta";"www.riigitootaja.ee";"teenuste_kanalid_ja_moodikud.Veebileht.rahulolu";83;"Veebileht";"rahulolu"
